TVP 1	175.25 
TVP 2	199.25 
Polsa	207.25 
TV 4	167.25 
AXN	479.25 
TVN	151.25 
TVN 7	303.25 
TVN24	383.25 
DiscS	631.25 
Discv	415.25 
NatGe	431.25 
TLC	639.25 
Travl	231.25 
13thS	463.25 
TVPKu	319.25 
ZEuro	447.25 
TVNTu	399.25 
TVNSt	407.25 
Club	327.25 
Anima	535.25 
PolsC	239.25 
ZReal	511.25 
Puls	495.25 
Pols2	247.25 
Tele5	295.25 
PolsN	271.25 
Supst	287.25 
TVNCN	255.25 
Domo	527.25 
iTV	263.25 
TVPom	143.25 
TVPol	191.25 
TVPIn	215.25 
TCM	423.25 
CNN	599.25 
euron	615.25 
ZRoma	487.25 
VH1	375.25 
Viva	567.25 
MTV	471.25 
TVNMe	391.25 
Kuch	519.25 
4fun	591.25 
MiniM	439.25 
Disn	455.25 
Extrm	647.25 
Euros	359.25 
PolsS	367.25 
Sport	503.25 
Mango	311.25 
UPCIn	159.25 
UPCOk	127.25 
UPCGa	135.25 
TV5Mo	687.25 
RTR	823.25 
relig	279.25 
